token,occurrences,expected_result,is_interesting
com,13481267,,
the,9415949,,
of,7069120,,
and,6042646,,
by,4818227,,
online,3551137,,
for,2791322,,
home,2427744,,
https,2419184,,
post,2372383,,
jokowi,2111334,,
quote,1906692,,
ii,1899417,,
is,1818881,,
kaskus,1707576,,
from,1700784,,
this,1584373,,
posted,1562547,,
news,1543642,,
corona,1389776,,
smartphone,1376752,,
with,1348363,,
google,1269711,,
pihaknya,1269634,,y
united,1206169,,
city,1164938,,
reply,1155324,,
next,1143873,,
satunya,1135633,,y
iii,1131690,,
dki,1121073,dki,
facebook,1105215,,
instagram,1091684,,
loading,1079252,,
all,1077743,,
us,1035169,,
menurutnya,1008471,,y
mobile,995038,,
games,978342,,
jpg,970395,,
may,956106,,
views,949308,,
read,942211,,
previous,912445,,
madrid,903653,,
website,898954,,
samsung,866343,,
twitter,852125,,
file,848983,,
group,811690,,
one,809602,,
joko,801133,,
var,795504,,
center,794266,,
windows,793522,,
view,792523,,
that,790195,,
jl,788232,,
international,776432,,
iphone,767659,,
share,758458,,
manchester,750795,,
prabowo,749990,,
terjadinya,747824,,y
live,737427,,
iv,732022,,
thread,720925,,
event,710603,,
review,698613,,
tags,698084,,
persib,685628,,
fc,680490,,
yamaha,677084,,
university,676035,,
widodo,669730,,
link,650391,,
your,642941,,
function,642424,,
galaxy,636358,,
world,628984,,
youtube,628856,,
dibawah,628228,,
liverpool,616593,,
free,608841,,
time,602180,,
my,600004,,
service,599092,,
brand,598874,,
microsoft,595824,,
pertamina,595522,,
motogp,595166,,
october,580139,,
march,579078,,
fashion,575864,,
black,575443,,
chelsea,572171,,
jogja,569876,,y
banyaknya,568500,,y
ungkapnya,566111,,y
thesis,565757,,
smartphone,1376752,,
pihaknya,1269634,,y
facebook,1105215,,
instagram,1091684,,
menurutnya,1008471,,y
previous,912445,,
international,776432,,
manchester,750795,,
terjadinya,747824,,y
university,676035,,
function,642424,,
liverpool,616593,,
microsoft,595824,,
pertamina,595522,,
banyaknya,568500,,y
ungkapnya,566111,,y
liputan6,557662,,
marketing,526559,,
comments,518360,,
december,517461,,
champions,515009,,
february,508633,,
pentingnya,487956,,y
pungkasnya,486875,,y
research,486691,,
streaming,457326,,
juventus,455705,,
business,453779,,
tuturnya,439799,,y
membuatnya,439452,,y
bertanggung,433696,,
republika,429643,,
learning,405133,,
whatsapp,398296,,
tribunnews,385952,,
rencananya,385873,,y
development,383639,,
pastinya,361320,,y
tambahnya,360510,,y
dasarnya,348478,,y
tokopedia,342957,,
telkomsel,340148,,
besarnya,327581,,y
rumahnya,327029,,y
tujuannya,312811,,y
melakukannya,308549,,y
indonesian,305788,,
alasannya,304213,,y
keluarganya,301107,,y
workshop,295864,,
utamanya,292644,,y
hidupnya,291256,,y
persebaya,288402,,
copyright,285510,,
blogspot,282280,,
trending,280773,,
depannya,278086,,y
imbuhnya,278026,,y
tandasnya,276545,,y
istrinya,274781,,y
entertainment,270840,,
matamatapolitik,270718,,
customer,266166,,
meningkatnya,264040,,y
published,263379,,
national,260364,,
munculnya,255064,,y
kerjanya,254040,,y
sandiaga,250596,,
mitsubishi,247582,,
tingginya,247419,,y
blackberry,246335,,
postingan,244659,,
community,243095,,
tempatnya,242292,,y
education,238016,,
technology,237346,,
lokasinya,235125,,y
director,233643,,
tubuhnya,232255,,y
wordpress,232012,,
hanyalah,229563,,y
lifestyle,229179,,
corporate,224717,,
analysis,224129,,
suaminya,221746,,y
